team,no,name,birth,height,weight,throw,bat,position,note
阪神タイガース,21,大竹　耕太郎,1995.06.29,184,87,左,左,投手,
阪神タイガース,26,椎葉　剛,2002.03.18,183,92,右,右,投手,
阪神タイガース,27,伊藤　将司,1996.05.08,179,83,左,左,投手,
阪神タイガース,28,今朝丸　裕喜,2006.06.02,188,75,右,右,投手,
阪神タイガース,29,髙橋　遥人,1995.11.07,181,82,左,左,投手,
阪神タイガース,30,門別　啓人,2004.07.10,183,86,左,左,投手,
阪神タイガース,35,才木　浩人,1998.11.07,189,90,右,右,投手,
阪神タイガース,36,畠　世周,1994.05.31,186,94,右,左,投手,
阪神タイガース,37,及川　雅貴,2001.04.18,184,86,左,左,投手,
阪神タイガース,41,村上　頌樹,1998.06.25,175,84,右,左,投手,
阪神タイガース,42,ルーカス,1996.09.23,191,94,左,左,投手,
阪神タイガース,44,早瀬　朔,2007.08.30,185,79,右,左,投手,
阪神タイガース,46,ラグズデール,1998.05.25,203,106,右,右,投手,
阪神タイガース,47,桐敷　拓馬,1999.06.20,179,92,左,左,投手,
阪神タイガース,48,茨木　秀俊,2004.06.08,183,87,右,右,投手,
阪神タイガース,49,工藤　泰成,2001.11.19,177,82,右,左,投手,
阪神タイガース,50,富田　蓮,2001.09.06,176,78,左,左,投手,
阪神タイガース,51,早川　太貴,1999.12.18,186,93,右,右,投手,
阪神タイガース,54,木下　里都,2001.01.27,183,89,右,右,投手,
阪神タイガース,55,能登　嵩都,2001.09.29,184,88,右,右,投手,
阪神タイガース,63,石黒　佑弥,2001.06.20,180,86,右,右,投手,
阪神タイガース,64,岡留　英貴,1999.11.07,181,96,右,右,投手,
阪神タイガース,65,湯浅　京己,1999.07.17,183,86,右,右,投手,
阪神タイガース,66,津田　淳哉,2001.08.27,179,82,右,右,投手,
阪神タイガース,69,石井　大智,1997.07.29,175,79,右,右,投手,
阪神タイガース,95,神宮　僚介,2003.05.27,178,81,右,右,投手,7/3 育成選手から支配下選手へ移行
阪神タイガース,97,セベリーノ,1994.09.17,178,86,左,左,投手,7/3 支配下選手登録
阪神タイガース,98,ドリス,1988.01.10,196,106,右,右,投手,
阪神タイガース,99,モレッタ,1996.04.15,188,102,右,右,投手,
